formula_pretty,avg_atomic_number,avg_electronegativity,valence_electron_count,fraction_transition_metals,nelements,density,volume,nsites,crystal_system,spacegroup_number,point_group,formation_energy_per_atom,energy_above_hull,band_gap
NaBePO4,8.857142857,2.635714286,11.71428571,0,4,2.711644893,933.0608784,84,Monoclinic,14,2/m,-2.861572749,0,5.8139
SrLa5F17,20.69565217,3.222173913,13.30434783,0.217391304,3,5.465893604,335.7356373,23,Triclinic,1,1,-4.446303211,0.022905856,6.0367
Rb3ScF6,18.6,2.77,10.8,0.1,3,3.593752816,383.835222,20,Tetragonal,128,4/mmm,-3.545157271,0,6.2397
CsCaCl3,25.2,2.254,10.8,0,3,2.845375636,163.0220799,5,Tetragonal,99,4mm,-2.53412861,0.00029149,5.3456
ZrH9N3F7,6.65,2.9055,8.85,0.05,4,2.687259542,680.4756667,80,Monoclinic,4,2,-1.761210976,0.067713792,5.6781
KCS(OF)3,10.22222222,3.134444444,14.44444444,0,5,2.043719484,917.3255054,54,Monoclinic,4,2,-1.999992752,0.133511436,5.3392
C5N4,6.444444444,2.767777778,14.44444444,0,2,1.383835058,278.5821503,18,Trigonal,161,3m,0.565152832,0.565152832,5.8888
LiAl(SiO3)2,9.2,2.703,13.8,0,4,3.111850573,397.2036648,40,Monoclinic,14,2/m,-3.191551081,0.037635699,5.5106
BaGeF6,17.75,3.3475,14.75,0,3,4.858439476,110.7236085,8,Trigonal,166,-3m,-3.401715624,0,5.6043
Ba2YC2(O2F)3,17,2.905714286,13,0.071428571,5,4.4301721,810.4807953,56,Orthorhombic,60,mmm,-3.195229471,0,5.2748
SmAl3(BO3)4,10.85,2.772,14.3,0,4,4.133289712,374.8637532,40,Monoclinic,15,2/m,-3.242215853,0.005708881,5.3057
K2NaNdF6,16.3,2.759,10.8,0,4,3.164908093,188.5770209,10,Cubic,225,m-3m,-3.483827796,0.074214983,5.9905
Cs2MgP4(HO2)8,10.25806452,2.719032258,10.58064516,0,5,2.835663891,397.0686416,31,Triclinic,2,-1,-2.216463747,0,5.3758
K2Be2PbF8,15.38461538,2.996153846,12,0,4,4.123433042,183.3964763,13,Trigonal,166,-3m,-3.235091949,0.003041081,5.547
RbAlNiF6,14.66666667,3.135555556,14,0.111111111,4,3.85260453,245.7946275,18,Orthorhombic,74,mmm,-3.222020559,0,5.4374
Mg2P2O7,10,2.825454545,13.27272727,0,3,3.170600126,116.5578989,11,Monoclinic,12,2/m,-2.977209821,0.002683633,5.3203
ErBO3,19.4,2.72,12.8,0,3,7.094939422,317.4615501,30,Monoclinic,15,2/m,-3.567248623,0,5.6534
PH6NO4,5,2.6825,8.333333333,0,4,1.8142468,210.5608474,24,Tetragonal,122,-42m,-1.435799918,0.039368588,5.3176
LiBH7N,2.2,2.146,3.6,0,4,0.647849339,397.9482538,40,Orthorhombic,62,mmm,-0.392702094,0.044609881,5.643
LiCN,5.333333333,2.19,10,0,3,1.008569366,217.0548209,12,Orthorhombic,62,mmm,-0.361349571,0.30770169,5.5313
PH6CNO3,4.833333333,2.608333333,8.166666667,0,5,1.590525387,1391.097164,144,Monoclinic,14,2/m,-1.138675468,0.048741009,5.4012
SiC(ClF)3,12.25,3.23375,16.25,0,4,1.780496343,379.4867139,16,Monoclinic,12,2/m,-1.501805803,0.311337716,6.1814
LiY(BH4)4,3.545454545,2.070909091,3.272727273,0.045454545,4,1.032179576,249.7098142,22,Tetragonal,111,-42m,-0.41557767,0.009421667,5.742
BaLi(B3O5)3,8.615384615,2.762692308,13.84615385,0,4,2.578995394,620.1219854,52,Trigonal,167,-3m,-2.944357325,0.000136159,5.7965
Ba(ClO4)2,14,3.157272727,14.90909091,0,3,3.653534786,305.6328154,22,Orthorhombic,70,mmm,-1.110697699,0,5.4454
K3B6ClO10,9.2,2.613,12.9,0,4,2.307668275,271.7169867,20,Trigonal,160,3m,-2.756454138,0,5.3729
CsRb2YF6,22.2,2.753,10.8,0.1,4,3.355310682,250.7836674,10,Cubic,225,m-3m,-3.480309745,0.057471259,5.4863
Rb2BeH4(SO5)2,10.21052632,2.714210526,10.52631579,0,5,2.613397628,1037.227351,76,Monoclinic,14,2/m,-1.987930495,0,5.3559
Rb3ErF6,23.3,2.758,10.8,0,3,4.185410139,213.3108778,10,Cubic,225,m-3m,-3.551303009,0,5.9394
YbCl2,34.66666667,2.473333333,12.33333333,0,2,5.311056131,152.5428665,6,Tetragonal,136,4/mmm,-2.024524607,0.185846899,5.3995
P2H8O9,5.789473684,2.786315789,9.578947368,0,3,2.082512495,682.5692199,76,Monoclinic,14,2/m,-1.782906276,0.006350441,5.5563
Al4Si2H(O3F)3,9.473684211,2.912631579,14.52631579,0,5,3.396533736,357.9619326,38,Monoclinic,4,2,-3.309963716,0.014906631,5.3555
NdF3,21.75,3.27,13.5,0,2,6.461803972,310.2807664,24,Hexagonal,193,6/mmm,-4.212732322,0.239633537,5.4439
KSrB(PO4)2,12,2.746923077,13.38461538,0,5,2.940126125,369.9025592,26,Monoclinic,9,m,-2.958638513,0,5.2873
ErAlO3,21,2.634,12.8,0,3,8.069583178,199.3891779,20,Orthorhombic,62,mmm,-3.76336032,0.017832045,6.0359
NdHCO4,14.14285714,2.807142857,11.71428571,0,4,4.632197656,317.2644853,28,Orthorhombic,19,222,-2.541773099,0,5.2689
